id;dc_source;dc_title;foi_nrPages;foi_fairiscoreVersions;foi_fairiscore_v2
nl.mnre1025.2e-b.2024.186.doc.1;https://open.overheid.nl/documenten/c66754e5-6291-44a2-821c-48cc695a9e4e/file;Beslisnota bij Kamerbrief over Specifieke Uitkering Specialistische Functies Huiselijk Geweld en Kindermishandeling;3.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1034.2e-b.2024.227.doc.1;https://open.overheid.nl/documenten/606a1c71-70f4-4c12-b3f5-e628c720d283/file;Beslisnota inzake beantwoording Kamervragen inzake benoemingsprocedure gezaghebber Sint Eustatius;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1090.2e-b.2024.122.doc.1;https://open.overheid.nl/documenten/d5d70348-8ee1-4ad8-9bc9-b34c05e87909/file;Beslisnota gebruik van het Heidi-systeem;3.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1109.2e-b.2024.201.doc.1;https://open.overheid.nl/documenten/dpc-b1702b29489a2c25dda53d4c9f2eaf28c46e355e/pdf;beslisnota-bij-antwoord-op-schriftelijke-vragen-van-lid-krul-cda-;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1025.2e-b.2024.557.doc.1;https://open.overheid.nl/documenten/5c6dd774-697b-438f-b300-520c9b1a69b9/file;Beslisnota bij Kamervragen over het bericht _Veel Nederlandse tandartsen gaan binnenkort met pensioen_ alleen in Itali_ studeren er minder nieuwe af;3.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1013.2e-b.2024.482.doc.1;https://open.overheid.nl/documenten/0d84b1ec-5ff9-4111-8d4e-5ed45b44c1a6/file;Beslisnota bij Kamerbrief inzake uitstel beantwoording vragen over het artikel _Kabinet zoekt na verbod naar andere wegen voor l-...-cc284ea;1.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1153.2e-b.2024.226.doc.1;https://open.overheid.nl/documenten/ce09971f-6249-41ab-8bc7-c7fe3fe21be1/file;63587052.Beslisnota bij TK IDENTIEK Kamerbrief Aanvullende advisering over zes projecten Nationaal Groeifonds uit de eerste_ twe-...-c79b24f;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1153.2e-b.2024.263.doc.1;https://open.overheid.nl/documenten/78cbf7c0-960c-400e-8937-edf0b8134319/file;53065643.Beslisnota bij Kamerbrief Vereenvoudigingen conditionaliteiten Gemeenschappelijk Landbouwbeleid;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1025.2e-b.2024.16.doc.1;https://open.overheid.nl/documenten/39bc9802-bd24-4513-88a1-d330ab8ceed1/file;Beslisnota bij Kamerbrief over beleidsreactie rapport IGJ over de kwaliteit van het Wmo-toezicht in 2022;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1162.2e-b.2024.5.doc.1;https://open.overheid.nl/documenten/dpc-00bfdcf93ca486cab20c649c6fc1422b703d29f3/pdf;tk-beslisnota-bij-kamerbrief-inzake-het-stimuleren-van-vrijwillige-remigratie;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1025.2e-b.2024.53.doc.1;https://open.overheid.nl/documenten/e697f438-46ac-4286-a12d-7ee8869e8492/file;Beslisnota bij Kamerbrief over Regeling zorgmedewerkers met langdurige post-COVID klachten;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1045.2e-b.2024.57.doc.1;https://open.overheid.nl/documenten/5e6ffb90-637d-47c5-92a7-4fb8057b8a28/file;44974637.Beslisnota bij Reactie op de brief _Vervolgvragen vierde ronde Nationaal Groeifonds_;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1073.2e-b.2024.267.doc.1;https://open.overheid.nl/documenten/94b4b634-dfb6-4155-8edc-963853934c78/file;Openbaarmaking Beslisnota_s - Nota n.a.v. verslag wetsvoorstel banenafspraak en nota van wijziging inzake wetsvoorstel banenafspraak;6.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1045.2e-b.2024.12.doc.1;https://open.overheid.nl/documenten/fcb3c2c4-999c-4ad7-8c93-633c2249134f/file;44361403.Beslisnota Kamerbrief Actieagenda Netcongestie Laagspanningsnetten;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1182.2e-b.2024.41.doc.1;https://open.overheid.nl/documenten/57d9d636-4339-44d6-97ea-b3bdd80f1a3c/file;87071826.Beslisnota bij Beantwoording motie-Postma CCS EU Koolstofbeheer;3.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1073.2e-b.2024.222.doc.1;https://open.overheid.nl/documenten/ff6cd717-53f2-4982-b032-4346106bca47/file;Openbaarmaking Beslisnota - Beantwoording Kamervraag over brief van 15 februari 2024 over de aanstelling van een regeringscommis-...-a74e77a;1.0;"{""v1"": 5, ""v2"": 5}";5
